yourlist:M201909028471C63D39733769F8E060B506551E123F05953	Entry	Entry name	Status	Protein names	Gene names	Organism	Length		
PCLO	Q9Y6V0	PCLO_HUMAN	reviewed	Protein piccolo (Aczonin)	PCLO ACZ KIAA0559	Homo sapiens (Human)	5142	Q6TGC4	353238
PDXDC1	Q6P996	PDXD1_HUMAN	reviewed	Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)	PDXDC1 KIAA0251	Homo sapiens (Human)	788	Q9NZ56	56776
RAI1	Q7Z5J4	RAI1_HUMAN	reviewed	Retinoic acid-induced protein 1	RAI1 KIAA1820	Homo sapiens (Human)	1906	P26006	3675
WWC2	Q6AWC2	WWC2_HUMAN	reviewed	Protein WWC2 (BH-3-only member B) (WW domain-containing protein 2)	WWC2 BOMB	Homo sapiens (Human)	1192	Q6ZS10	388512
ZNF208	O43345	ZN208_HUMAN	reviewed	Zinc finger protein 208 (Zinc finger protein 91-like)	ZNF208 ZNF91L	Homo sapiens (Human)	1280	Q9ULW6	4674
PRAMEF13	Q5VWM6	PRA13_HUMAN	reviewed	Putative PRAME family member 13	PRAMEF13	Homo sapiens (Human)	474	Q7Z4T9	89876
S1PR1	P21453	S1PR1_HUMAN	reviewed	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1PR1 CHEDG1 EDG1	Homo sapiens (Human)	382	P16050	246
CNTN3	Q9P232	CNTN3_HUMAN	reviewed	Contactin-3 (Brain-derived immunoglobulin superfamily protein 1) (BIG-1) (Plasmacytoma-associated neuronal glycoprotein)	CNTN3 KIAA1496 PANG	Homo sapiens (Human)	1028	P22692	3487
IRF7	Q92985	IRF7_HUMAN	reviewed	Interferon regulatory factor 7 (IRF-7)	IRF7	Homo sapiens (Human)	503	P18583	6651
KRT6B	P04259	K2C6B_HUMAN	reviewed	"Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)"	KRT6B K6B KRTL1	Homo sapiens (Human)	564	Q9Y535	171568
IGHV3-48	P01763	HV348_HUMAN	reviewed	Immunoglobulin heavy variable 3-48 (Ig heavy chain V-III region WEA)	IGHV3-48	Homo sapiens (Human)	117	O95521	65121
LHFPL3	Q86UP9	LHPL3_HUMAN	reviewed	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)	LHFPL3 LHFPL4	Homo sapiens (Human)	236	Q7Z3S9	100996717
TAB3	Q8N5C8	TAB3_HUMAN	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	TAB3 MAP3K7IP3	Homo sapiens (Human)	712	Q7Z3S9	100996763
PER3	P56645	PER3_HUMAN	reviewed	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	PER3 GIG13	Homo sapiens (Human)	1201	Q7Z3S9	388677
C20orf96	Q9NUD7	CT096_HUMAN	reviewed	Uncharacterized protein C20orf96	C20orf96	Homo sapiens (Human)	363	Q9P215	57645
FBXW12	Q6X9E4	FBW12_HUMAN	reviewed	F-box/WD repeat-containing protein 12 (F-box and WD-40 domain-containing protein 12) (F-box only protein 35)	FBXW12 FBW12 FBXO12 FBXO35	Homo sapiens (Human)	464	P56704	89780
DFNA5	O60443	GSDME_HUMAN	reviewed	"Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]"	GSDME DFNA5 ICERE1	Homo sapiens (Human)	496	P31153	4144
GBA3	Q9H227	GBA3_HUMAN	reviewed	Cytosolic beta-glucosidase (EC 3.2.1.21) (Cytosolic beta-glucosidase-like protein 1) (Cytosolic glycosylceramidase) (Cytosolic GCase) (Glucosidase beta acid 3) (Glucosylceramidase beta 3) (Klotho-related protein) (KLrP)	GBA3 CBG CBGL1	Homo sapiens (Human)	469	Q8NE01	26505
SLC10A5	Q5PT55	NTCP5_HUMAN	reviewed	Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5)	SLC10A5	Homo sapiens (Human)	438	P09327	7429
XCL2	Q9UBD3	XCL2_HUMAN	reviewed	Cytokine SCM-1 beta (C motif chemokine 2) (XC chemokine ligand 2)	XCL2 SCYC2	Homo sapiens (Human)	114	Q9NY15	23166
ALOX12	P18054	LOX12_HUMAN	reviewed	"Arachidonate 12-lipoxygenase, 12S-type (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12)"	ALOX12 12LO LOG12	Homo sapiens (Human)	663	Q66GS9	9662
ZC3H11A	O75152	ZC11A_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810	Q8NBA8	285605
IGHV3-66	A0A0C4DH42	HV366_HUMAN	reviewed	Immunoglobulin heavy variable 3-66	IGHV3-66	Homo sapiens (Human)	116	Q13428	6949
TAF4	O00268	TAF4_HUMAN	reviewed	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	1085	P11717	3482
PID1	Q7Z2X4	PCLI1_HUMAN	reviewed	"PTB-containing, cubilin and LRP1-interacting protein (P-CLI1) (Phosphotyrosine interaction domain-containing protein 1) (Protein NYGGF4)"	PID1 NYGGF4 PCLI1 HMFN2073	Homo sapiens (Human)	250	Q6ZU65	254048
PPP1R21	Q6ZMI0	PPR21_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 21 (Coiled-coil domain-containing protein 128) (KLRAQ motif-containing protein 1)	PPP1R21 CCDC128 KLRAQ1	Homo sapiens (Human)	780	P04920	6522
PADI6	Q6TGC4	PADI6_HUMAN	reviewed	Protein-arginine deiminase type-6 (EC 3.5.3.15) (Peptidyl arginine deiminase-like protein) (Peptidylarginine deiminase VI) (hPADVI) (Protein-arginine deiminase type VI)	PADI6 PAD6	Homo sapiens (Human)	694	Q96PZ7	64478
FMN2	Q9NZ56	FMN2_HUMAN	reviewed	Formin-2	FMN2	Homo sapiens (Human)	1722	Q96HA7	4796
ITGA3	P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051	O75936	8424
CLEC17A	Q6ZS10	CL17A_HUMAN	reviewed	"C-type lectin domain family 17, member A (Prolectin)"	CLEC17A	Homo sapiens (Human)	378	Q14139	9354
NAP1L2	Q9ULW6	NP1L2_HUMAN	reviewed	"Nucleosome assembly protein 1-like 2 (Brain-specific protein, X-linked)"	NAP1L2 BPX	Homo sapiens (Human)	460	Q70EL3	373509
NBPF10	Q6P3W6	NBPFA_HUMAN	reviewed	Neuroblastoma breakpoint family member 10	NBPF10	Homo sapiens (Human)	841	Q96QT4	54822
"MAATS1,C3orf15"	Q7Z4T9	CFA91_HUMAN	reviewed	Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)	MAATS1 AAT1 C3orf15 CFAP91	Homo sapiens (Human)	767	O75150	9810
ALOX15	P16050	LOX15_HUMAN	reviewed	"Arachidonate 15-lipoxygenase (15-LOX) (15-LOX-1) (EC 1.13.11.33) (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (EC 1.13.11.31) (Arachidonate omega-6 lipoxygenase)"	ALOX15 LOG15	Homo sapiens (Human)	662	Q15615	26689
IGFBP4	P22692	IBP4_HUMAN	reviewed	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)	IGFBP4 IBP4	Homo sapiens (Human)	258	Q6NYC1	23210
SON	P18583	SON_HUMAN	reviewed	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	Homo sapiens (Human)	2426	P19022	1000
POLR3H	Q9Y535	RPC8_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC8 (RNA polymerase III subunit C8) (DNA-directed RNA polymerase III subunit H) (RNA polymerase III subunit 22.9 kDa subunit) (RPC22.9)	POLR3H KIAA1665 RPC8	Homo sapiens (Human)	204	P28328	5828
PRAMEF1	O95521	PRAM1_HUMAN	reviewed	PRAME family member 1	PRAMEF1	Homo sapiens (Human)	474	Q8N7H5	54623
NOTCH2NL	Q7Z3S9	NT2NA_HUMAN	reviewed	Notch homolog 2 N-terminal-like protein A (Notch homolog 2 N-terminal-like protein)	NOTCH2NLA N2N NOTCH2NL	Homo sapiens (Human)	236	Q96B36	84335
POGK	Q9P215	POGK_HUMAN	reviewed	Pogo transposable element with KRAB domain	POGK KIAA1513 LST003 SLTP003	Homo sapiens (Human)	609	P04279	6406
WNT3A	P56704	WNT3A_HUMAN	reviewed	Protein Wnt-3a	WNT3A	Homo sapiens (Human)	352	P55769	4809
MAT2A	P31153	METK2_HUMAN	reviewed	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	MAT2A AMS2 MATA2	Homo sapiens (Human)	395	Q9UN76	11254
CNNM3	Q8NE01	CNNM3_HUMAN	reviewed	Metal transporter CNNM3 (Ancient conserved domain-containing protein 3) (Cyclin-M3)	CNNM3 ACDP3	Homo sapiens (Human)	707	Q5FWF5	114799
VIL1	P09327	VILI_HUMAN	reviewed	Villin-1	VIL1 VIL	Homo sapiens (Human)	827	Q96R06	10615
STAB1	Q9NY15	STAB1_HUMAN	reviewed	"Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)"	STAB1 FEEL1 KIAA0246	Homo sapiens (Human)	2570	P02461	1281
CEP135	Q66GS9	CP135_HUMAN	reviewed	Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4)	CEP135 CEP4 KIAA0635	Homo sapiens (Human)	1140	P22304	3423
DTWD2	Q8NBA8	DTWD2_HUMAN	reviewed	DTW domain-containing protein 2	DTWD2	Homo sapiens (Human)	298	Q8IZF6	139378
TCOF1	Q13428	TCOF_HUMAN	reviewed	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)	1488	Q3SY00	254187
IGF2R	P11717	MPRI_HUMAN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	Homo sapiens (Human)	2491	Q12912	4033
UBN2	Q6ZU65	UBN2_HUMAN	reviewed	Ubinuclein-2	UBN2 KIAA2030	Homo sapiens (Human)	1347	Q02388	1294
SLC4A2	P04920	B3A2_HUMAN	reviewed	Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2)	SLC4A2 AE2 EPB3L1 HKB3 MPB3L	Homo sapiens (Human)	1241	P20023	1380
CSMD1	Q96PZ7	CSMD1_HUMAN	reviewed	CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)	CSMD1 KIAA1890 UNQ5952/PRO19863	Homo sapiens (Human)	3564	Q53RD9	129804
TONSL	Q96HA7	TONSL_HUMAN	reviewed	Tonsoku-like protein (Inhibitor of kappa B-related protein) (I-kappa-B-related protein) (IkappaBR) (NF-kappa-B inhibitor-like protein 2) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2)	TONSL IKBR NFKBIL2	Homo sapiens (Human)	1378	Q5D1E8	80149
BBOX1	O75936	BODG_HUMAN	reviewed	"Gamma-butyrobetaine dioxygenase (EC 1.14.11.1) (Gamma-butyrobetaine hydroxylase) (Gamma-BBH) (Gamma-butyrobetaine,2-oxoglutarate dioxygenase)"	BBOX1 BBH BBOX	Homo sapiens (Human)	387	Q96FL8	55244
UBE4A	Q14139	UBE4A_HUMAN	reviewed	Ubiquitin conjugation factor E4 A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 A)	UBE4A KIAA0126	Homo sapiens (Human)	1066	Q8N3F9	283554
USP50	Q70EL3	UBP50_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 50 (Inactive ubiquitin-specific peptidase 50)	USP50	Homo sapiens (Human)	339	Q14956	10457
TRPM7	Q96QT4	TRPM7_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)	TRPM7 CHAK1 LTRPC7	Homo sapiens (Human)	1865	Q69YN4	25962
RNF40	O75150	BRE1B_HUMAN	reviewed	E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	RNF40 BRE1B KIAA0661	Homo sapiens (Human)	1001	Q14997	23198
OR4D1	Q15615	OR4D1_HUMAN	reviewed	Olfactory receptor 4D1 (Olfactory receptor 4D3) (Olfactory receptor TPCR16)	OR4D1 OR4D3	Homo sapiens (Human)	310	Q8IY95	201931
JMJD6	Q6NYC1	JMJD6_HUMAN	reviewed	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR)	JMJD6 KIAA0585 PSR PTDSR	Homo sapiens (Human)	403	Q96JB5	80279
CDH2	P19022	CADH2_HUMAN	reviewed	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	Homo sapiens (Human)	906	Q13838	7919
PAF1	P28328	PEX2_HUMAN	reviewed	Peroxisome biogenesis factor 2 (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72)	PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72	Homo sapiens (Human)	305	Q5VWN6	54906
PAF1	Q8N7H5	PAF1_HUMAN	reviewed	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)	PAF1 PD2	Homo sapiens (Human)	531	P59827	149954
AKT1S1	Q96B36	AKTS1_HUMAN	reviewed	Proline-rich AKT1 substrate 1 (40 kDa proline-rich AKT substrate)	AKT1S1 PRAS40	Homo sapiens (Human)	256	Q8WZ92	120065
SEMG1	P04279	SEMG1_HUMAN	reviewed	Semenogelin-1 (Cancer/testis antigen 103) (Semenogelin I) (SGI) [Cleaved into: Alpha-inhibin-92; Alpha-inhibin-31; Seminal basic protein]	SEMG1 SEMG	Homo sapiens (Human)	462	Q96P31	115352
NHP2L1	P55769	NH2L1_HUMAN	reviewed	"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]"	SNU13 NHP2L1	Homo sapiens (Human)	128	Q9H339	282763
SLC6A14	Q9UN76	S6A14_HUMAN	reviewed	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) (Amino acid transporter ATB0+) (Solute carrier family 6 member 14)	SLC6A14	Homo sapiens (Human)	642	Q14982	4978
ESCO1	Q5FWF5	ESCO1_HUMAN	reviewed	N-acetyltransferase ESCO1 (EC 2.3.1.-) (CTF7 homolog 1) (Establishment factor-like protein 1) (EFO1) (EFO1p) (hEFO1) (Establishment of cohesion 1 homolog 1) (ECO1 homolog 1) (ESO1 homolog 1)	ESCO1 EFO1 KIAA1911	Homo sapiens (Human)	840	P35711	6660
SPAG5	Q96R06	SPAG5_HUMAN	reviewed	Sperm-associated antigen 5 (Astrin) (Deepest) (Mitotic spindle-associated protein p126) (MAP126)	SPAG5	Homo sapiens (Human)	1193	O00744	7480
COL3A1	P02461	CO3A1_HUMAN	reviewed	Collagen alpha-1(III) chain	COL3A1	Homo sapiens (Human)	1466	Q15185	10728
IDS	P22304	IDS_HUMAN	reviewed	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase) (Idursulfase) [Cleaved into: Iduronate 2-sulfatase 42 kDa chain; Iduronate 2-sulfatase 14 kDa chain]	IDS SIDS	Homo sapiens (Human)	550	P23467	5787
GPR112	Q8IZF6	AGRG4_HUMAN	reviewed	Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112)	ADGRG4 GPR112	Homo sapiens (Human)	3080	O75691	27340
TSGA10IP	Q3SY00	T10IP_HUMAN	reviewed	Testis-specific protein 10-interacting protein (Tsga10-interacting protein)	TSGA10IP	Homo sapiens (Human)	556	P00439	5053
LRMP	Q12912	LRMP_HUMAN	reviewed	Lymphoid-restricted membrane protein (Protein Jaw1) [Cleaved into: Processed lymphoid-restricted membrane protein]	LRMP JAW1	Homo sapiens (Human)	555	P98196	23250
COL7A1	Q02388	CO7A1_HUMAN	reviewed	Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen)	COL7A1	Homo sapiens (Human)	2944	Q86WT6	140691
CR2	P20023	CR2_HUMAN	reviewed	Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)	CR2 C3DR	Homo sapiens (Human)	1033	B5ME19	728689
FBLN7	Q53RD9	FBLN7_HUMAN	reviewed	Fibulin-7 (FIBL-7)	FBLN7 TM14	Homo sapiens (Human)	439	Q8IXA5	124912
ZC3H12A	Q5D1E8	ZC12A_HUMAN	reviewed	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1	Homo sapiens (Human)	599	Q9HA92	55316
SLC47A1	Q96FL8	S47A1_HUMAN	reviewed	Multidrug and toxin extrusion protein 1 (MATE-1) (hMATE-1) (Solute carrier family 47 member 1)	SLC47A1 MATE1	Homo sapiens (Human)	570	Q8IUA7	10350
GPR137C	Q8N3F9	G137C_HUMAN	reviewed	Integral membrane protein GPR137C (Transmembrane 7 superfamily member 1-like 2 protein)	GPR137C TM7SF1L2	Homo sapiens (Human)	429	Q9BXA6	83983
GPNMB	Q14956	GPNMB_HUMAN	reviewed	Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)	GPNMB HGFIN NMB UNQ1725/PRO9925	Homo sapiens (Human)	572	Q8TAF7	92283
KIAA1429	Q69YN4	VIR_HUMAN	reviewed	Protein virilizer homolog	VIRMA KIAA1429 MSTP054	Homo sapiens (Human)	1812	P21817	6261
PSME4	Q14997	PSME4_HUMAN	reviewed	Proteasome activator complex subunit 4 (Proteasome activator PA200)	PSME4 KIAA0077	Homo sapiens (Human)	1843	Q9NX02	55655
TMEM192	Q8IY95	TM192_HUMAN	reviewed	Transmembrane protein 192	TMEM192	Homo sapiens (Human)	271	Q9BVC5	79074
CDK5RAP3	Q96JB5	CK5P3_HUMAN	reviewed	CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27)	CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553	Homo sapiens (Human)	506	Q15772	10290
BAT1	Q13838	DX39B_HUMAN	reviewed	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)	DDX39B BAT1 UAP56	Homo sapiens (Human)	428	Q9Y3B1	51012
"FAM208B,C10orf18"	Q5VWN6	TASO2_HUMAN	reviewed	Protein TASOR 2	TASOR2 C10orf18 FAM208B KIAA2006	Homo sapiens (Human)	2430	Q86UZ6	140685
"BPIFB4,C20orf186"	P59827	BPIB4_HUMAN	reviewed	"BPI fold-containing family B member 4 (Ligand-binding protein RY2G5) (Long palate, lung and nasal epithelium carcinoma-associated protein 4)"	BPIFB4 C20orf186 LPLUNC4	Homo sapiens (Human)	614	Q02952	9590
OR5P2	Q8WZ92	OR5P2_HUMAN	reviewed	Olfactory receptor 5P2 (Olfactory receptor-like protein JCG3)	OR5P2	Homo sapiens (Human)	322	P21439	5244
WASH3P	C4AMC7	WASH3_HUMAN	reviewed	Putative WAS protein family homolog 3 (Protein FAM39DP)	WASH3P FAM39DP	Homo sapiens (Human)	463	A4D1E1	219578
FCRL3	Q96P31	FCRL3_HUMAN	reviewed	Fc receptor-like protein 3 (FcR-like protein 3) (FcRL3) (Fc receptor homolog 3) (FcRH3) (IFGP family protein 3) (hIFGP3) (Immune receptor translocation-associated protein 3) (SH2 domain-containing phosphatase anchor protein 2) (CD antigen CD307c)	FCRL3 FCRH3 IFGP3 IRTA3 SPAP2	Homo sapiens (Human)	734	Q04656	538
OR51B5	Q9H339	O51B5_HUMAN	reviewed	Olfactory receptor 51B5 (Odorant receptor HOR5'beta5) (Olfactory receptor OR11-37)	OR51B5	Homo sapiens (Human)	312	Q8N468	148808
OPCML	Q14982	OPCM_HUMAN	reviewed	Opioid-binding protein/cell adhesion molecule (OBCAM) (OPCML) (Opioid-binding cell adhesion molecule) (IgLON family member 1)	OPCML IGLON1 OBCAM	Homo sapiens (Human)	345	Q9Y3Q4	10021
SOX5	P35711	SOX5_HUMAN	reviewed	Transcription factor SOX-5	SOX5	Homo sapiens (Human)	763	Q9P267	55777
WNT10B	O00744	WN10B_HUMAN	reviewed	Protein Wnt-10b (Protein Wnt-12)	WNT10B WNT12	Homo sapiens (Human)	389	P26992	1271
PTGES3	Q15185	TEBP_HUMAN	reviewed	Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES) (Hsp90 co-chaperone) (Progesterone receptor complex p23) (Telomerase-binding protein p23)	PTGES3 P23 TEBP	Homo sapiens (Human)	160	P0DPF3	400818
PTPRB	P23467	PTPRB_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP)	PTPRB PTPB	Homo sapiens (Human)	1997	Q5VU43	653513
UTP20	O75691	UTP20_HUMAN	reviewed	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	Homo sapiens (Human)	2785	Q5VU43	9659
PAH	P00439	PH4H_HUMAN	reviewed	Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase)	PAH	Homo sapiens (Human)	452	Q9ULG1	54617
ATP11A	P98196	AT11A_HUMAN	reviewed	Probable phospholipid-transporting ATPase IH (EC 7.6.2.1) (ATPase IS) (ATPase class VI type 11A) (P4-ATPase flippase complex alpha subunit ATP11A)	ATP11A ATPIH ATPIS KIAA1021	Homo sapiens (Human)	1134	Q05996	7783
TRIM69	Q86WT6	TRI69_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM69 (EC 2.3.2.27) (RFP-like domain-containing protein trimless) (RING finger protein 36) (RING-type E3 ubiquitin transferase TRIM69) (Tripartite motif-containing protein 69)	TRIM69 RNF36 HSD-34 HSD34	Homo sapiens (Human)	500	Q99613	8663
EIF3CL	B5ME19	EIFCL_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3CL	Homo sapiens (Human)	914	Q9Y221	51388
SPACA3	Q8IXA5	SACA3_HUMAN	reviewed	"Sperm acrosome membrane-associated protein 3 (Cancer/testis antigen 54) (CT54) (Lysozyme-like acrosomal sperm-specific secretory protein ALLP-17) (Lysozyme-like protein 3) (Sperm lysozyme-like protein 1) (Sperm protein reactive with antisperm antibodies) (Sperm protein reactive with ASA) [Cleaved into: Sperm acrosome membrane-associated protein 3, membrane form; Sperm acrosome membrane-associated protein 3, processed form]"	SPACA3 LYC3 LYZL3 SLLP1 SPRASA UNQ424/PRO862	Homo sapiens (Human)	215	Q2M3D2	90332
RSAD1	Q9HA92	RSAD1_HUMAN	reviewed	"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (Putative heme chaperone)"	RSAD1	Homo sapiens (Human)	442	Q9BPW9	10170
ABCA9	Q8IUA7	ABCA9_HUMAN	reviewed	ATP-binding cassette sub-family A member 9	ABCA9	Homo sapiens (Human)	1624	Q70CQ2	9736
TSSK6	Q9BXA6	TSSK6_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	TSSK6 SSTK FKSG82	Homo sapiens (Human)	273	Q9H9F9	79913
ZNF461	Q8TAF7	ZN461_HUMAN	reviewed	Zinc finger protein 461 (Gonadotropin-inducible ovary transcription repressor 1) (GIOT-1)	ZNF461 GIOT1	Homo sapiens (Human)	563	A2VDJ0	23240
RYR1	P21817	RYR1_HUMAN	reviewed	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)	RYR1 RYDR	Homo sapiens (Human)	5038	Q00577	5813
NLRP2	Q9NX02	NALP2_HUMAN	reviewed	"NACHT, LRR and PYD domains-containing protein 2 (Nucleotide-binding site protein 1) (PYRIN domain and NACHT domain-containing protein 1) (PYRIN-containing APAF1-like protein 2)"	NLRP2 NALP2 NBS1 PAN1 PYPAF2	Homo sapiens (Human)	1062	P22105	7148
C2orf49	Q9BVC5	ASHWN_HUMAN	reviewed	Ashwin	C2orf49	Homo sapiens (Human)	232	Q5VWC8	401494
